order_id,order_date,customer_id,customer_segment,region,salesperson,product_category,product_name,quantity,unit_price,discount,gross_revenue,revenue,cost,profit,profit_margin
ORD-20250015,2025-10-10,CUST-2282,SMB,South,Priya Sharma,Software,DevOps Automation,2,951.02,0.0,1902.04,1902.04,940.41,961.63,0.5056
ORD-20250016,2025-11-03,CUST-4445,Enterprise,North,Lucas Meyer,Software,CRM Enterprise,11,2376.92,0.0,26146.13,26146.13,13056.73,13089.4,0.5006
ORD-20250017,2025-10-22,CUST-3999,Enterprise,East,Sarah Jenkins,Cloud Solutions,Cloud Hosting Pro,19,1257.19,0.15,23886.68,20303.68,12080.19,8223.48,0.405
ORD-20250018,2025-08-13,CUST-2707,SMB,East,Michael Chang,Hardware,Workstation Pro,4,2211.64,0.0,8846.55,8846.55,4124.0,4722.55,0.5338
ORD-20250019,2025-07-03,CUST-4908,SMB,North,Elena Rostova,Hardware,Security Appliance,2,3141.39,0.0,6282.79,6282.79,2940.71,3342.08,0.5319
ORD-20250020,2025-04-07,CUST-4420,Mid-Market,North,David Ross,Professional Services,24/7 Premium Support,5,1965.19,0.0,9825.96,9825.96,5819.23,4006.73,0.4078
ORD-20250021,2025-05-27,CUST-3976,Enterprise,South,Lucas Meyer,Software,DevOps Automation,9,991.49,0.0,8923.4,8923.4,4218.05,4705.36,0.5273
ORD-20250022,2025-05-31,CUST-2787,SMB,East,Lucas Meyer,Hardware,Network Gateway Gen4,2,1677.15,0.0,3354.29,3354.29,1684.41,1669.88,0.4978
ORD-20250023,2025-10-31,CUST-4062,Mid-Market,Central,Sarah Jenkins,Professional Services,24/7 Premium Support,2,1969.84,0.05,3939.68,3742.7,2447.59,1295.11,0.346
ORD-20250024,2025-02-23,CUST-2648,Mid-Market,West,Lucas Meyer,Software,CRM Enterprise,5,2495.65,0.0,12478.27,12478.27,5638.17,6840.09,0.5482
ORD-20250025,2025-04-09,CUST-1337,Enterprise,Central,Michael Chang,Professional Services,Cloud Migration Consulting,24,7461.32,0.2,179071.63,143257.31,106088.46,37168.85,0.2595
ORD-20250026,2025-10-16,CUST-2919,Enterprise,East,Lucas Meyer,Hardware,Security Appliance,9,3168.49,0.0,28516.42,28516.42,15734.3,12782.12,0.4482
ORD-20250027,2025-01-22,CUST-1562,Consumer,North,James Wilson,Professional Services,Implementation & Onboarding,4,5065.57,0.1,20262.28,18236.05,11732.28,6503.77,0.3566
ORD-20250028,2025-11-13,CUST-4120,Mid-Market,East,Lucas Meyer,Professional Services,24/7 Premium Support,2,2098.91,0.0,4197.82,4197.82,2123.73,2074.09,0.4941
ORD-20250029,2025-01-06,CUST-4420,Enterprise,South,Sarah Jenkins,Hardware,Security Appliance,16,3244.66,0.05,51914.61,49318.88,24143.89,25174.99,0.5105
ORD-20250030,2025-09-10,CUST-4394,Consumer,South,Lucas Meyer,Professional Services,24/7 Premium Support,2,2011.36,0.1,4022.72,3620.45,2558.46,1061.98,0.2933
ORD-20250031,2025-06-23,CUST-2686,Mid-Market,North,Michael Chang,Hardware,Edge Server X1,8,4808.8,0.05,38470.39,36546.87,23841.4,12705.46,0.3476
ORD-20250032,2025-10-26,CUST-3806,Mid-Market,West,Michael Chang,Software,Analytics Studio,4,1756.12,0.0,7024.47,7024.47,3275.64,3748.83,0.5337
ORD-20250033,2025-11-09,CUST-3559,Enterprise,East,James Wilson,Hardware,Security Appliance,18,2960.74,0.15,53293.29,45299.3,27985.19,17314.11,0.3822
ORD-20250034,2025-11-18,CUST-4736,SMB,South,Michael Chang,Cloud Solutions,Data Lakehouse Storage,3,890.96,0.1,2672.87,2405.58,1219.1,1186.49,0.4932
ORD-20250035,2025-06-29,CUST-3491,Enterprise,North,Amara Okafor,Software,CRM Enterprise,3,2676.98,0.05,8030.95,7629.4,3751.01,3878.39,0.5083
ORD-20250036,2025-12-31,CUST-3870,Mid-Market,North,Lucas Meyer,Cloud Solutions,Data Lakehouse Storage,5,818.78,0.1,4093.92,3684.53,2106.69,1577.83,0.4282
ORD-20250037,2025-05-25,CUST-2974,Mid-Market,South,Michael Chang,Software,Analytics Studio,6,1743.18,0.0,10459.08,10459.08,5602.54,4856.54,0.4643
ORD-20250038,2025-05-09,CUST-2119,Enterprise,North,James Wilson,Cloud Solutions,Enterprise AI Suite,24,3575.11,0.05,85802.61,81512.48,49564.23,31948.25,0.3919
ORD-20250039,2025-07-08,CUST-3908,Mid-Market,West,Priya Sharma,Hardware,Edge Server X1,4,4678.91,0.0,18715.64,18715.64,11258.76,7456.89,0.3984
ORD-20250040,2025-07-04,CUST-2008,Enterprise,South,James Wilson,Professional Services,Annual Maintenance,18,1697.68,0.0,30558.25,30558.25,18416.63,12141.62,0.3973
ORD-20250041,2025-12-07,CUST-1356,Enterprise,East,Priya Sharma,Professional Services,Cloud Migration Consulting,12,7836.86,0.2,94042.31,75233.85,49364.93,25868.92,0.3438
ORD-20250042,2025-09-07,CUST-2348,Mid-Market,Central,Amara Okafor,Hardware,Security Appliance,5,3135.91,0.1,15679.57,14111.61,7138.94,6972.67,0.4941
ORD-20250043,2025-06-09,CUST-4746,Mid-Market,Central,Elena Rostova,Cloud Solutions,Enterprise AI Suite,2,3485.39,0.0,6970.78,6970.78,4449.4,2521.38,0.3617
ORD-20250044,2025-11-19,CUST-4627,SMB,West,Amara Okafor,Software,CRM Enterprise,1,2331.5,0.0,2331.5,2331.5,1067.34,1264.16,0.5422
ORD-20250045,2025-08-30,CUST-3652,Enterprise,East,Michael Chang,Hardware,Security Appliance,12,2952.21,0.05,35426.57,33655.24,19456.54,14198.7,0.4219
ORD-20250046,2025-11-10,CUST-4447,Mid-Market,East,Elena Rostova,Professional Services,Implementation & Onboarding,2,5151.74,0.0,10303.48,10303.48,5002.22,5301.27,0.5145
ORD-20250047,2025-07-11,CUST-1977,SMB,East,Sarah Jenkins,Cloud Solutions,Serverless Compute,3,453.62,0.1,1360.87,1224.79,846.03,378.75,0.3092
ORD-20250048,2025-07-02,CUST-2821,SMB,West,Sarah Jenkins,Software,DevOps Automation,1,950.5,0.1,950.5,855.45,484.3,371.14,0.4339
ORD-20250049,2025-01-19,CUST-4986,Enterprise,South,Elena Rostova,Software,DevOps Automation,11,932.83,0.2,10261.18,8208.95,5607.78,2601.17,0.3169
ORD-20250050,2025-05-24,CUST-3995,Enterprise,South,David Ross,Software,DevOps Automation,23,973.98,0.05,22401.44,21281.37,10589.0,10692.37,0.5024
ORD-20250051,2025-06-30,CUST-1633,Enterprise,East,Amara Okafor,Professional Services,Annual Maintenance,5,1682.81,0.0,8414.04,8414.04,4026.95,4387.09,0.5214
ORD-20250052,2025-03-15,CUST-2542,Consumer,West,James Wilson,Hardware,Edge Server X1,1,4666.84,0.0,4666.84,4666.84,2932.54,1734.29,0.3716
ORD-20250053,2025-07-13,CUST-4719,Enterprise,North,Lucas Meyer,Cloud Solutions,Data Lakehouse Storage,17,906.12,0.15,15404.12,13093.51,9728.3,3365.2,0.257
ORD-20250054,2025-10-28,CUST-2810,Enterprise,West,Amara Okafor,Professional Services,Annual Maintenance,14,1508.76,0.1,21122.65,19010.38,10900.35,8110.03,0.4266
ORD-20250055,2025-05-06,CUST-4709,Enterprise,East,Michael Chang,Software,CyberDefense Suite,22,2789.46,0.0,61368.06,61368.06,36772.29,24595.77,0.4008
ORD-20250056,2025-12-14,CUST-4480,Enterprise,Central,Lucas Meyer,Cloud Solutions,Cloud Hosting Pro,3,1166.83,0.2,3500.49,2800.4,2259.85,540.55,0.193
ORD-20250057,2025-06-22,CUST-4284,Consumer,North,David Ross,Hardware,Edge Server X1,4,4595.42,0.0,18381.69,18381.69,11835.24,6546.45,0.3561
ORD-20250058,2025-02-16,CUST-4584,SMB,East,Amara Okafor,Professional Services,Annual Maintenance,2,1512.65,0.05,3025.29,2874.03,1915.17,958.86,0.3336
ORD-20250059,2025-11-26,CUST-4479,Consumer,Central,Elena Rostova,Software,CyberDefense Suite,1,2835.44,0.0,2835.44,2835.44,1538.91,1296.53,0.4573
ORD-20250060,2025-07-05,CUST-1040,Enterprise,North,Elena Rostova,Hardware,Workstation Pro,27,2264.88,0.0,61151.71,61151.71,34890.5,26261.21,0.4294
ORD-20250061,2025-08-28,CUST-1389,Consumer,North,Michael Chang,Professional Services,Implementation & Onboarding,3,5112.86,0.0,15338.58,15338.58,8185.41,7153.17,0.4664
ORD-20250062,2025-11-08,CUST-4190,Mid-Market,West,Lucas Meyer,Hardware,Workstation Pro,2,2261.07,0.0,4522.15,4522.15,2926.09,1596.06,0.3529
ORD-20250063,2025-09-24,CUST-3874,Enterprise,East,David Ross,Hardware,Edge Server X1,19,4962.4,0.15,94285.56,80142.72,44952.57,35190.16,0.4391
ORD-20250064,2025-11-07,CUST-2668,SMB,West,James Wilson,Professional Services,Annual Maintenance,3,1508.31,0.05,4524.94,4298.7,2721.37,1577.32,0.3669
ORD-20250065,2025-03-24,CUST-3048,Mid-Market,North,David Ross,Professional Services,Cloud Migration Consulting,6,7579.63,0.0,45477.79,45477.79,26574.5,18903.29,0.4157
ORD-20250066,2025-10-15,CUST-3201,Enterprise,North,Michael Chang,Hardware,Network Gateway Gen4,4,1596.19,0.1,6384.77,5746.3,3961.35,1784.95,0.3106
ORD-20250067,2025-02-23,CUST-2848,Enterprise,Central,Sarah Jenkins,Software,CRM Enterprise,18,2395.21,0.05,43113.8,40958.11,24749.99,16208.12,0.3957
ORD-20250068,2025-03-07,CUST-1763,Consumer,West,Michael Chang,Professional Services,24/7 Premium Support,2,2021.62,0.0,4043.24,4043.24,2268.11,1775.13,0.439
ORD-20250069,2025-11-04,CUST-2019,Mid-Market,East,James Wilson,Professional Services,Annual Maintenance,8,1503.54,0.0,12028.32,12028.32,7328.79,4699.53,0.3907
ORD-20250070,2025-05-18,CUST-2875,Mid-Market,Central,Lucas Meyer,Software,CyberDefense Suite,6,3039.21,0.0,18235.26,18235.26,9404.84,8830.42,0.4842
ORD-20250071,2025-08-23,CUST-1760,Enterprise,East,Priya Sharma,Professional Services,Annual Maintenance,18,1447.79,0.0,26060.14,26060.14,12675.03,13385.11,0.5136
ORD-20250072,2025-07-03,CUST-1092,Consumer,South,Lucas Meyer,Software,CRM Enterprise,2,2424.46,0.0,4848.93,4848.93,2978.98,1869.95,0.3856
ORD-20250073,2025-04-02,CUST-4584,Enterprise,South,Amara Okafor,Hardware,Edge Server X1,11,4730.88,0.05,52039.64,49437.65,28657.37,20780.29,0.4203
ORD-20250074,2025-10-28,CUST-2144,Enterprise,South,James Wilson,Professional Services,Annual Maintenance,17,1501.75,0.0,25529.73,25529.73,11501.63,14028.1,0.5495
ORD-20250075,2025-10-19,CUST-2715,SMB,West,Priya Sharma,Professional Services,Implementation & Onboarding,3,4935.24,0.0,14805.71,14805.71,8493.31,6312.4,0.4263
ORD-20250076,2025-03-19,CUST-3746,SMB,East,Lucas Meyer,Professional Services,Cloud Migration Consulting,3,7660.01,0.1,22980.04,20682.03,13786.26,6895.77,0.3334
ORD-20250077,2025-10-01,CUST-2215,Mid-Market,South,Sarah Jenkins,Professional Services,Annual Maintenance,8,1481.59,0.0,11852.74,11852.74,6097.24,5755.5,0.4856
ORD-20250078,2025-08-19,CUST-3192,Mid-Market,North,Amara Okafor,Software,DevOps Automation,5,947.53,0.0,4737.64,4737.64,2746.71,1990.92,0.4202
ORD-20250079,2025-05-26,CUST-1622,Mid-Market,North,Lucas Meyer,Cloud Solutions,Enterprise AI Suite,9,3476.08,0.0,31284.73,31284.73,15853.7,15431.03,0.4932
ORD-20250080,2025-01-06,CUST-2975,Mid-Market,West,David Ross,Software,CRM Enterprise,6,2359.28,0.05,14155.7,13447.92,6658.23,6789.69,0.5049
ORD-20250081,2025-07-17,CUST-3890,Mid-Market,South,James Wilson,Professional Services,Cloud Migration Consulting,7,7729.4,0.0,54105.79,54105.79,33462.42,20643.37,0.3815
ORD-20250082,2025-08-31,CUST-2246,SMB,North,James Wilson,Hardware,Security Appliance,2,3123.56,0.05,6247.12,5934.76,3832.07,2102.69,0.3543
ORD-20250083,2025-04-04,CUST-1193,SMB,North,Priya Sharma,Software,DevOps Automation,3,956.8,0.0,2870.41,2870.41,1733.44,1136.97,0.3961
ORD-20250084,2025-11-22,CUST-1224,SMB,Central,Elena Rostova,Cloud Solutions,Serverless Compute,1,451.34,0.1,451.34,406.21,229.16,177.05,0.4359
ORD-20250085,2025-10-20,CUST-3026,Consumer,East,David Ross,Professional Services,Implementation & Onboarding,1,4934.62,0.0,4934.62,4934.62,2762.01,2172.61,0.4403
ORD-20250086,2025-05-18,CUST-2619,Enterprise,Central,Sarah Jenkins,Cloud Solutions,Enterprise AI Suite,7,3325.95,0.0,23281.64,23281.64,13298.95,9982.69,0.4288
ORD-20250087,2025-04-04,CUST-1235,Consumer,North,Michael Chang,Software,CyberDefense Suite,2,3025.55,0.1,6051.1,5445.99,2942.33,2503.66,0.4597
ORD-20250088,2025-02-04,CUST-2855,SMB,Central,Amara Okafor,Software,CyberDefense Suite,4,2995.1,0.1,11980.41,10782.37,5783.32,4999.05,0.4636
ORD-20250089,2025-08-01,CUST-4481,Enterprise,North,James Wilson,Professional Services,Cloud Migration Consulting,6,7362.15,0.1,44172.88,39755.6,23757.37,15998.23,0.4024
ORD-20250090,2025-01-14,CUST-2046,Mid-Market,West,Priya Sharma,Cloud Solutions,Cloud Hosting Pro,8,1209.3,0.0,9674.39,9674.39,5110.94,4563.44,0.4717
ORD-20250091,2025-11-05,CUST-1197,Mid-Market,Central,James Wilson,Cloud Solutions,Data Lakehouse Storage,4,860.86,0.0,3443.42,3443.42,1645.45,1797.97,0.5221
ORD-20250092,2025-01-15,CUST-2254,Mid-Market,West,David Ross,Professional Services,Cloud Migration Consulting,5,7873.27,0.05,39366.35,37398.03,19671.28,17726.75,0.474
ORD-20250093,2025-10-16,CUST-1516,Mid-Market,North,David Ross,Software,Analytics Studio,3,1771.57,0.05,5314.72,5048.99,2794.29,2254.7,0.4466
ORD-20250094,2025-12-31,CUST-4719,Enterprise,North,Amara Okafor,Professional Services,Implementation & Onboarding,17,4954.48,0.15,84226.12,71592.2,48702.03,22890.17,0.3197
ORD-20250095,2025-08-31,CUST-3116,SMB,East,Elena Rostova,Software,CRM Enterprise,3,2510.18,0.0,7530.53,7530.53,3731.16,3799.38,0.5045
ORD-20250096,2025-01-23,CUST-3265,Consumer,East,Amara Okafor,Software,CyberDefense Suite,4,2901.71,0.0,11606.83,11606.83,5265.11,6341.72,0.5464
ORD-20250097,2025-11-12,CUST-2347,Enterprise,East,Amara Okafor,Professional Services,24/7 Premium Support,7,2041.45,0.0,14290.13,14290.13,8164.57,6125.57,0.4287
ORD-20250098,2025-02-20,CUST-3826,Consumer,West,Priya Sharma,Hardware,Edge Server X1,1,4614.35,0.1,4614.35,4152.92,2248.41,1904.51,0.4586
ORD-20250099,2025-11-09,CUST-1935,Enterprise,South,Priya Sharma,Cloud Solutions,Data Lakehouse Storage,23,839.74,0.1,19314.04,17382.64,11792.59,5590.05,0.3216
ORD-20250100,2025-04-27,CUST-1536,Enterprise,East,Michael Chang,Cloud Solutions,Serverless Compute,13,469.03,0.15,6097.43,5182.82,3643.22,1539.6,0.2971
ORD-20250101,2025-01-17,CUST-2202,Enterprise,East,James Wilson,Software,CRM Enterprise,9,2319.72,0.0,20877.51,20877.51,12653.84,8223.67,0.3939
ORD-20250102,2025-05-30,CUST-1966,Enterprise,North,Sarah Jenkins,Cloud Solutions,Cloud Hosting Pro,22,1195.08,0.1,26291.73,23662.56,12280.08,11382.48,0.481
ORD-20250103,2025-07-08,CUST-4212,Enterprise,North,James Wilson,Professional Services,24/7 Premium Support,24,2097.34,0.2,50336.15,40268.92,27365.07,12903.86,0.3204
ORD-20250104,2025-11-01,CUST-4090,Mid-Market,North,Michael Chang,Hardware,Security Appliance,2,3185.41,0.0,6370.83,6370.83,3535.03,2835.79,0.4451
ORD-20250105,2025-04-23,CUST-4715,Mid-Market,South,Sarah Jenkins,Professional Services,Annual Maintenance,9,1554.27,0.1,13988.41,12589.57,7056.6,5532.97,0.4395
ORD-20250106,2025-06-11,CUST-2823,Enterprise,South,Michael Chang,Software,CyberDefense Suite,10,3181.77,0.0,31817.75,31817.75,15788.44,16029.31,0.5038
ORD-20250107,2025-09-12,CUST-4300,Enterprise,North,David Ross,Professional Services,Annual Maintenance,21,1522.91,0.0,31981.15,31981.15,15946.9,16034.25,0.5014
ORD-20250108,2025-03-19,CUST-1451,SMB,East,Elena Rostova,Professional Services,24/7 Premium Support,1,1928.22,0.0,1928.22,1928.22,992.64,935.57,0.4852
ORD-20250109,2025-01-07,CUST-1146,SMB,East,Lucas Meyer,Hardware,Workstation Pro,1,2282.82,0.0,2282.82,2282.82,1348.66,934.15,0.4092
ORD-20250110,2025-10-30,CUST-2409,Enterprise,East,David Ross,Professional Services,Annual Maintenance,14,1549.6,0.05,21694.37,20609.66,11654.77,8954.89,0.4345
ORD-20250111,2025-12-21,CUST-1592,SMB,Central,Michael Chang,Hardware,Security Appliance,2,3096.1,0.1,6192.21,5572.99,3012.02,2560.96,0.4595
ORD-20250112,2025-04-25,CUST-1236,SMB,East,Sarah Jenkins,Cloud Solutions,Enterprise AI Suite,3,3401.31,0.0,10203.92,10203.92,5452.37,4751.55,0.4657
ORD-20250113,2025-06-03,CUST-1804,Enterprise,East,David Ross,Hardware,Network Gateway Gen4,9,1799.59,0.0,16196.32,16196.32,8176.08,8020.24,0.4952
ORD-20250114,2025-01-17,CUST-2622,Mid-Market,South,Amara Okafor,Software,CyberDefense Suite,3,2795.61,0.0,8386.82,8386.82,4221.08,4165.73,0.4967
ORD-20250115,2025-08-07,CUST-3868,Mid-Market,East,Priya Sharma,Software,DevOps Automation,3,989.37,0.0,2968.11,2968.11,1563.09,1405.02,0.4734
ORD-20250116,2025-05-02,CUST-2386,Enterprise,South,Sarah Jenkins,Hardware,Edge Server X1,21,4603.36,0.05,96670.6,91837.07,51028.46,40808.61,0.4444
ORD-20250117,2025-10-23,CUST-3854,Consumer,South,Lucas Meyer,Software,CRM Enterprise,3,2507.83,0.0,7523.5,7523.5,4821.19,2702.31,0.3592
ORD-20250118,2025-03-10,CUST-4219,Enterprise,East,David Ross,Professional Services,Annual Maintenance,5,1551.23,0.15,7756.15,6592.73,4416.11,2176.62,0.3302
ORD-20250119,2025-07-20,CUST-3343,Enterprise,West,Sarah Jenkins,Software,DevOps Automation,3,1025.54,0.1,3076.61,2768.95,1667.33,1101.62,0.3978
ORD-20250120,2025-10-18,CUST-2458,SMB,West,James Wilson,Software,CyberDefense Suite,2,2926.17,0.0,5852.33,5852.33,2740.74,3111.59,0.5317
ORD-20250121,2025-11-01,CUST-2520,Consumer,North,Priya Sharma,Hardware,Network Gateway Gen4,4,1606.7,0.1,6426.82,5784.13,3713.35,2070.79,0.358
ORD-20250122,2025-03-22,CUST-2223,SMB,East,Sarah Jenkins,Hardware,Edge Server X1,2,4794.92,0.0,9589.85,9589.85,6209.75,3380.1,0.3525
ORD-20250123,2025-12-31,CUST-1710,Enterprise,East,Sarah Jenkins,Professional Services,24/7 Premium Support,23,1994.64,0.0,45876.77,45876.77,27351.95,18524.82,0.4038
ORD-20250124,2025-06-25,CUST-3641,Mid-Market,North,Priya Sharma,Professional Services,Implementation & Onboarding,7,4777.44,0.0,33442.09,33442.09,18543.2,14898.89,0.4455
ORD-20250125,2025-04-13,CUST-3667,Mid-Market,North,Elena Rostova,Cloud Solutions,Data Lakehouse Storage,6,814.04,0.0,4884.25,4884.25,2529.92,2354.33,0.482
ORD-20250126,2025-07-02,CUST-3544,Mid-Market,South,Elena Rostova,Hardware,Security Appliance,6,3150.11,0.05,18900.68,17955.64,11854.42,6101.22,0.3398
ORD-20250127,2025-04-18,CUST-1545,Enterprise,North,James Wilson,Software,Analytics Studio,15,1805.21,0.15,27078.13,23016.41,12564.41,10452.0,0.4541
ORD-20250128,2025-10-29,CUST-1317,SMB,South,Amara Okafor,Professional Services,Implementation & Onboarding,4,5063.75,0.05,20255.01,19242.26,10728.22,8514.04,0.4425
ORD-20250129,2025-12-25,CUST-3050,SMB,East,Amara Okafor,Cloud Solutions,Cloud Hosting Pro,2,1175.64,0.1,2351.28,2116.15,1167.93,948.22,0.4481
ORD-20250130,2025-06-02,CUST-3632,Consumer,North,Priya Sharma,Professional Services,Annual Maintenance,1,1483.74,0.0,1483.74,1483.74,951.5,532.24,0.3587
ORD-20250131,2025-10-20,CUST-1806,Enterprise,West,Lucas Meyer,Hardware,Edge Server X1,16,4848.38,0.1,77574.13,69816.72,37499.86,32316.86,0.4629
ORD-20250132,2025-02-21,CUST-4646,Mid-Market,North,James Wilson,Professional Services,Implementation & Onboarding,6,5165.32,0.0,30991.93,30991.93,14237.35,16754.57,0.5406
ORD-20250133,2025-11-09,CUST-2911,Enterprise,North,James Wilson,Cloud Solutions,Data Lakehouse Storage,7,812.42,0.05,5686.92,5402.57,3148.57,2254.0,0.4172
ORD-20250134,2025-01-20,CUST-3466,Enterprise,Central,Michael Chang,Software,Analytics Studio,20,1835.28,0.1,36705.67,33035.11,21090.62,11944.49,0.3616
ORD-20250135,2025-03-30,CUST-2290,Mid-Market,East,Sarah Jenkins,Cloud Solutions,Enterprise AI Suite,9,3417.96,0.0,30761.64,30761.64,19310.61,11451.03,0.3723
ORD-20250136,2025-08-14,CUST-2560,SMB,West,Amara Okafor,Hardware,Security Appliance,3,2971.97,0.0,8915.9,8915.9,4676.72,4239.17,0.4755
ORD-20250137,2025-11-24,CUST-1453,Enterprise,East,Amara Okafor,Cloud Solutions,Enterprise AI Suite,18,3564.14,0.1,64154.53,57739.08,40198.03,17541.05,0.3038
ORD-20250138,2025-11-14,CUST-4111,SMB,East,Michael Chang,Hardware,Security Appliance,4,3120.38,0.0,12481.51,12481.51,7810.0,4671.5,0.3743
ORD-20250139,2025-05-27,CUST-4642,Enterprise,West,Lucas Meyer,Software,CRM Enterprise,11,2360.16,0.1,25961.78,23365.61,14894.85,8470.75,0.3625
ORD-20250140,2025-07-07,CUST-3808,Consumer,North,David Ross,Software,Analytics Studio,3,1858.65,0.0,5575.94,5575.94,2882.89,2693.05,0.483
ORD-20250141,2025-06-07,CUST-4789,Enterprise,Central,Amara Okafor,Cloud Solutions,Enterprise AI Suite,16,3593.41,0.0,57494.62,57494.62,37155.17,20339.46,0.3538
ORD-20250142,2025-01-17,CUST-3903,Enterprise,North,Amara Okafor,Professional Services,24/7 Premium Support,5,1925.69,0.0,9628.45,9628.45,5165.16,4463.29,0.4636
ORD-20250143,2025-11-15,CUST-1988,Enterprise,South,James Wilson,Hardware,Workstation Pro,6,2128.23,0.2,12769.35,10215.48,6514.83,3700.65,0.3623
ORD-20250144,2025-01-17,CUST-3752,SMB,West,James Wilson,Hardware,Edge Server X1,2,4595.85,0.1,9191.71,8272.54,5925.87,2346.66,0.2837
ORD-20250145,2025-10-12,CUST-3428,Mid-Market,South,Elena Rostova,Cloud Solutions,Serverless Compute,8,430.45,0.05,3443.63,3271.44,1886.17,1385.27,0.4234
ORD-20250146,2025-02-27,CUST-4356,Enterprise,North,Elena Rostova,Cloud Solutions,Enterprise AI Suite,19,3360.77,0.15,63854.59,54276.4,38885.01,15391.39,0.2836
ORD-20250147,2025-06-06,CUST-1973,SMB,South,Elena Rostova,Professional Services,Annual Maintenance,2,1444.7,0.1,2889.4,2600.46,1387.52,1212.94,0.4664
ORD-20250148,2025-04-02,CUST-1083,Consumer,West,James Wilson,Hardware,Workstation Pro,3,2150.33,0.05,6450.98,6128.43,3316.76,2811.67,0.4588
ORD-20250149,2025-01-15,CUST-1792,Enterprise,West,Lucas Meyer,Cloud Solutions,Cloud Hosting Pro,14,1207.53,0.15,16905.42,14369.61,10880.98,3488.62,0.2428
ORD-20250150,2025-05-25,CUST-2709,Enterprise,North,Michael Chang,Software,CRM Enterprise,22,2284.29,0.2,50254.31,40203.45,22941.36,17262.09,0.4294
ORD-20250151,2025-11-12,CUST-4224,Enterprise,Central,James Wilson,Professional Services,Annual Maintenance,16,1514.75,0.2,24235.99,19388.79,12991.97,6396.82,0.3299
ORD-20250152,2025-06-15,CUST-2013,Enterprise,North,Amara Okafor,Hardware,Edge Server X1,26,5230.79,0.2,136000.61,108800.49,73582.32,35218.17,0.3237
ORD-20250153,2025-03-13,CUST-2389,SMB,East,Priya Sharma,Cloud Solutions,Enterprise AI Suite,3,3577.66,0.0,10732.98,10732.98,6454.94,4278.04,0.3986
ORD-20250154,2025-04-12,CUST-2111,SMB,Central,Sarah Jenkins,Cloud Solutions,Data Lakehouse Storage,1,816.24,0.0,816.24,816.24,370.31,445.93,0.5463
ORD-20250155,2025-11-06,CUST-1935,SMB,East,Lucas Meyer,Software,Analytics Studio,2,1768.76,0.0,3537.53,3537.53,1654.05,1883.47,0.5324
ORD-20250156,2025-03-18,CUST-4237,Enterprise,North,Priya Sharma,Cloud Solutions,Enterprise AI Suite,16,3567.62,0.1,57081.89,51373.7,27598.89,23774.8,0.4628
